id,question,expected_answer_keyword
1,"Does the project - Max Towers mention any certifications, approvals, or RERA registration?",UPRERA
2,"At Max Towers, solar heat gain is controlled through which system?",vertical-fin
3,Most prime location of max towers?,Noida
4,when was max estates established?,2016
5,What is the Solar Heat Gain Coefficient (SHGC) of the 30 mm thick insulated glass unit used in Max Towers’ façade?,0.25
6,What percentage of visible light transmission is cut by the 30 mm thick insulated glass unit with Low-E coating used in the façade system at Max Towers?,34%
7,What is the total Super Built Up Area of Max House located in the Secondary Business District of New Delhi?,"1,05,000"
8,What is the green building certification rating of Max House?,LEED Gold
9,How long does it take to reach suryaa hotel from Max House?,5
10,How far is Connaught Place from Max House?,11
11,What sustainability certification has Max Square achieved for green building standards?,IGBC Platinum
12,"What is the total number of parking levels at Max House, including basement, stilt, and podium parking?",4
13,Which airport terminal is specifically mentioned as being 30 minutes away?,Terminal 1D
14,Which airport is mentioned as upcoming near Max Square?,Jewar
15,What is the name of the central courtyard forest inside the building?,Courtyard
16,What is the green building rating of Max Towers?,LEED Platinum
17,What is the minimum ceiling height on office floors?,4.3
18,What is the super built-up area of Max Towers?,52016
19,What is the parking ratio provided?,700
20,Which seismic zone is the building designed for?,zone 4
